id,key,summary
536311,UNBO-3743,Add in website carbon api call
536310,UNBO-3742,Update the IaC to deploy new service
536309,UNBO-3741,Integrate Page Performance tool into CMDB
536306,UNBO-3740,Amend the FE search request generation
536305,UNBO-3739,File indexing and bulk copy process
536304,UNBO-3738,File indexing and bulk copy process
536302,UNBO-3737,Reimplement automatic index creation and ~3 month removal
536298,UNBO-3736,Migrate or remove the API Gateway+Cognito implementation
536297,UNBO-3735,Amend schema to align with new service
536296,UNBO-3734,Search Phase 1 - 2024
536213,UNBO-3733,News feed variant Confluence page needs updating with all available options
536210,UNBO-3732,Agency signup is not working for accesabilityhub
536207,UNBO-3731,"Change ""TakeAction"" Path "
536061,UNBO-3730,Not able to read promos on mouse-over
536047,UNBO-3729,Add ability to remove original document field to prevent inability to delete referenced documents
536045,UNBO-3727,SSO integration with the Accessibility Hub is currently not working
536042,UNBO-3726,Sign up forms throwing 404 errors
535872,UNBO-3725,Review for Automation : Refactor of the Latest News module.
535871,UNBO-3724,Review for Automation : Add a card variant
535780,UNBO-3723,Read time for accessibility hub
535652,UNBO-3722,Look at formatting the file upload for Contact Us
535603,UNBO-3721,Separate out the PRIVATE_MOCK_SERVER to individual mocks
535507,UNBO-3720,Investgate why desktop visual tests take 15 minutes
535505,UNBO-3719,Delete Cypress videos for passing specs
535498,UNBO-3718,Upgrade configs to Typescript where possible
535371,UNBO-3717,Not able to include an apostrophe for Best Bets
535363,UNBO-3715,Card links not covering whole card
535296,UNBO-3714,Move accessibility hub navigation over to the new nav
535012,UNBO-3713,Add shared astro config
534951,UNBO-3712,Notice site - Phase 2
534906,UNBO-3711,Add in additional sites to the Page Performance tool
534868,UNBO-3710,New Relic test of deforestation maps for console errors
534790,UNBO-3709,Update ESLint to v9
534787,UNBO-3708,Integrate Website Carbon information into the Page Performance tool
534778,UNBO-3707,Share Price mock is broken since feature was redesigned
534769,UNBO-3706,Check the node runtime version of all Netlify sites
534765,UNBO-3705,Create a clone 'development' google tag container of unilever.com
534743,UNBO-3704,Palm oil story - minor copy edits 
534710,UNBO-3703,Brand profile social media component position
534708,UNBO-3702,Decouple brand profile country tabs from country filter
534703,UNBO-3701,Visual tests workflow is triggering global when desktop selected
534394,UNBO-3700,Actions (sort by title for example) under Brands not working
534323,UNBO-3697,Add 'open' toggle to accordion items 
534060,UNBO-3695,Palm Oil maps package incompatibility - deckgl 9.0.1 did not render PathLayer
534058,UNBO-3694,Brands filter should be called 'Location' rather than 'Country'
534025,UNBO-3693,Deck GL layers not rendering
534017,UNBO-3692,500 error on new market /brands pages
533877,UNBO-3691,CMS add new image shows a config invalid error
533871,UNBO-3689,Magnifying glass icon in hero search | Space alignment | Chrome vs Safari
533870,UNBO-3688,Hero Search: Safari search button
533861,UNBO-3687,Share Price - Fallback field feeds into Error slot
533846,UNBO-3686,Review for Automation - Share price refactor
533823,UNBO-3685,Remove visual testing from ci web corporate and web wiop workflows
533802,UNBO-3684,Move autoblock script position from <body> to <head>
533713,UNBO-3683,Review for Automation - Refactor Search Hero module
533657,UNBO-3682,Chart animation cause issues with Percy snapshots
533636,UNBO-3680,"Pages in Draft mode show as duplicated in ""Where is a schema type used?"""
533633,UNBO-3679,Feature component does not align correct in RTL setting
533522,UNBO-3678,Update Debt Investor highchart
533521,UNBO-3677,Enable the ability to not have a link to a brand page on the brand profile selection list and filter
533499,UNBO-3676,Brand Section - Country Filter
533077,UNBO-3674,Review distilled sites results - 2024-04-01
533067,UNBO-3673,Delay loading cookie consent and analytics until user interaction
533066,UNBO-3672,Update Twitter icon to X
533065,UNBO-3671,New navigation lacking active/current states
532976,UNBO-3670,Remove env var dependency on CYPRESS_AUTH_PASSWORD
532826,UNBO-3669,astro-compress minor version update breaks wiop header mounting
532824,UNBO-3668,Investigate the preview sites failing in CI
532806,UNBO-3667,WIOP uwp-c-header is-not-mounted
532784,UNBO-3666,Feature group module
532782,UNBO-3665,Homepage redesign
532771,UNBO-3663,Fix Vue hydration mismatches
532767,UNBO-3662,Strategy Day: Sanity Translations
532737,UNBO-3661,Strategy Day: Sanity Workflows
532576,UNBO-3660,Review of U.com analytics scripts
532538,UNBO-3659,Update user list for QT GH projects
532430,UNBO-3658,Section - Header alignment END
532414,UNBO-3656,Update test data json with new password
532408,UNBO-3655,Add integration UI tests for Palm Oil Legend on Mobile
532399,UNBO-3654,Review for Automation : Enable multiple brand profiles to be put on a brand page 
532398,UNBO-3653,Review for Automation : Location filter on brand selection page 
532226,UNBO-3652,Best Bet component is missing and is replaced by the module link to All News Stories
532216,UNBO-3651,qa-manual-stage-netlify is returning error 500
532213,UNBO-3650,Brand title override is not displaying on front end
532203,UNBO-3649,Allow sanity preview tab to automatically authenticate
532202,UNBO-3648,Update the tests to generate their own JWT
532170,UNBO-3647,Palm Story - change promo image 
532139,UNBO-3646,Deforestation Phase 2 -Forest Footprint Analysis report
532106,UNBO-3645,Create playbook page for overview and scores function
